t pforce betaMax vBeta Hmax vH
0.00000e+00 0.00000e+00 9.99997e-01 0.00000e+00 2.02000e+00 -4.54708e-01
1.00000e-02 1.17263e-01 1.00002e+00 2.25049e-03 2.00990e+00 -1.03566e+00
2.00000e-02 4.88852e-01 1.00004e+00 -1.29688e-03 1.99990e+00 -9.73854e-01
3.00000e-02 9.07662e-01 1.00001e+00 -3.24255e-04 1.99025e+00 -9.77495e-01
4.00000e-02 1.45793e+00 1.00002e+00 8.43133e-04 1.98025e+00 -9.96245e-01
5.00000e-02 1.60918e+00 1.00003e+00 2.02823e-03 1.97028e+00 -9.97657e-01
6.00000e-02 1.45867e+00 1.00006e+00 3.25538e-03 1.96033e+00 -9.93914e-01
7.00000e-02 2.32899e+00 1.00009e+00 4.44490e-03 1.95039e+00 -9.94271e-01
8.00000e-02 1.79936e+00 1.00015e+00 6.20293e-03 1.94045e+00 -9.94326e-01
9.00000e-02 2.20023e+00 1.00022e+00 7.70099e-03 1.93051e+00 -9.93376e-01
1.00000e-01 2.30352e+00 1.00030e+00 9.71461e-03 1.92058e+00 -9.92766e-01
1.10000e-01 2.41528e+00 1.00041e+00 1.15799e-02 1.91065e+00 -9.92258e-01
1.20000e-01 2.23523e+00 1.00054e+00 1.38958e-02 1.90073e+00 -9.91520e-01
1.30000e-01 2.49284e+00 1.00069e+00 1.63203e-02 1.89082e+00 -9.90826e-01
1.40000e-01 2.59538e+00 1.00086e+00 1.86147e-02 1.88091e+00 -9.90123e-01
1.50000e-01 2.66396e+00 1.00106e+00 2.13424e-02 1.87101e+00 -9.89452e-01
1.60000e-01 2.70808e+00 1.00129e+00 2.42170e-02 1.86112e+00 -9.88521e-01
1.70000e-01 2.69543e+00 1.00154e+00 2.68963e-02 1.85124e+00 -9.87679e-01
1.80000e-01 2.75960e+00 1.00183e+00 3.00802e-02 1.84137e+00 -9.86712e-01
1.90000e-01 2.79193e+00 1.00214e+00 3.34331e-02 1.83151e+00 -9.85778e-01
2.00000e-01 2.82335e+00 1.00249e+00 3.65793e-02 1.82165e+00 -9.84913e-01
2.10000e-01 2.92910e+00 1.00288e+00 4.03105e-02 1.81181e+00 -9.83799e-01
2.20000e-01 2.94816e+00 1.00330e+00 4.41843e-02 1.80198e+00 -9.82765e-01
2.30000e-01 2.88729e+00 1.00376e+00 4.82167e-02 1.79215e+00 -9.81739e-01
2.40000e-01 2.99431e+00 1.00426e+00 5.20542e-02 1.78234e+00 -9.80655e-01
2.50000e-01 3.06513e+00 1.00480e+00 5.64938e-02 1.77254e+00 -9.79477e-01
2.60000e-01 2.98035e+00 1.00539e+00 6.11120e-02 1.76275e+00 -9.78103e-01
2.70000e-01 3.03025e+00 1.00603e+00 6.59348e-02 1.75297e+00 -9.77183e-01
2.80000e-01 3.06597e+00 1.00671e+00 7.09719e-02 1.74321e+00 -9.75835e-01
2.90000e-01 3.06495e+00 1.00744e+00 7.62303e-02 1.73346e+00 -9.74386e-01
3.00000e-01 3.11677e+00 1.00823e+00 8.18530e-02 1.72372e+00 -9.73256e-01
3.10000e-01 3.08009e+00 1.00908e+00 8.76822e-02 1.71399e+00 -9.71995e-01
3.20000e-01 3.16220e+00 1.00998e+00 9.37591e-02 1.70428e+00 -9.70699e-01
3.30000e-01 3.10726e+00 1.01095e+00 1.00063e-01 1.69458e+00 -9.69484e-01
3.40000e-01 3.11772e+00 1.01198e+00 1.06774e-01 1.68489e+00 -9.68158e-01
3.50000e-01 3.07834e+00 1.01590e+00 1.46653e+00 1.67521e+00 -9.65831e-01
3.60000e-01 3.21151e+00 1.03028e+00 1.40235e+00 1.66555e+00 -9.65320e-01
3.70000e-01 3.15925e+00 1.04447e+00 1.39561e+00 1.65591e+00 -9.63894e-01
3.80000e-01 3.14460e+00 1.05841e+00 1.38003e+00 1.64627e+00 -9.62370e-01
3.90000e-01 3.13135e+00 1.07210e+00 1.37515e+00 1.63666e+00 -9.60808e-01
4.00000e-01 3.12134e+00 1.08558e+00 1.31716e+00 1.62706e+00 -9.59042e-01
4.10000e-01 3.14834e+00 1.09888e+00 1.31313e+00 1.61747e+00 -9.57606e-01
