 We force_max Ec El
0 1 5.664229954566442 0.1 0.1
1 1 6.2164110633268095 0.5 0.5
2 1 6.8218144476303575 1.0 1.0
3 1 10.445660053502952 5.0 5.0
4 1 41.847719229828776 150.0 150.0
5 1 13.663636528474145 10.0 10.0
6 1 18.205393907869738 20.0 20.0
7 1 21.51850520037448 30.0 30.0
8 1 24.216184652026296 40.0 40.0
9 1 26.58888790361415 50.0 50.0
10 1 28.68480821844056 60.0 60.0
11 1 30.56302971434168 70.0 70.0
12 1 32.299773589079024 80.0 80.0
13 1 33.919773416814834 90.0 90.0
14 1 35.356395401367706 100.0 100.0
15 1 47.07079565600406 200.0 200.0
16 1 55.40177207855724 300.0 300.0
17 1 62.201740753272695 400.0 400.0
18 1 68.15156735198975 500.0 500.0
19 1 73.24833943351955 600.0 600.0
20 1 77.86276246699134 700.0 700.0
21 1 82.03316881076708 800.0 800.0
22 1 85.88202637046385 900.0 900.0
23 1 89.44538091779101 1000.0 1000.0
24 1 5.519593492789404 0.01 0.01
25 1 5.5030847313940745 0.001 0.001
26 1 5.501113536003597 0.0001 0.0001
27 1 117.3869030983577 2000.0 2000.0
28 1 137.67148926417153 3000.0 3000.0
29 1 153.29887992053432 4000.0 4000.0
30 1 167.30101997743986 5000.0 5000.0
31 1 179.04540211396562 6000.0 6000.0
32 1 189.61519819718453 7000.0 7000.0
33 1 201.11712330068048 8000.0 8000.0
34 1 209.75835109373088 9000.0 9000.0
0 2 4.521429426931183 0.1 0.05
1 2 4.869838212199892 0.5 0.25
2 2 5.274672465521341 1.0 0.5
3 2 7.739652301326195 5.0 2.5
4 2 31.442931912747586 150.0 75.0
5 2 10.050706417076364 10.0 5.0
6 2 13.506285856428551 20.0 10.0
7 2 15.992332842969184 30.0 15.0
8 2 18.029809678462044 40.0 20.0
9 2 19.799112773061765 50.0 25.0
10 2 21.452125195599667 60.0 30.0
11 2 22.894448862819527 70.0 35.0
12 2 24.15584143313499 80.0 40.0
13 2 25.37280818733734 90.0 45.0
14 2 26.52104847505207 100.0 50.0
15 2 35.434898257793776 200.0 100.0
16 2 42.02689596283563 300.0 150.0
17 2 47.05501377290896 400.0 200.0
18 2 51.63320869909791 500.0 250.0
19 2 55.511614477697925 600.0 300.0
20 2 59.059675012789 700.0 350.0
21 2 62.34255309599218 800.0 400.0
22 2 65.34424754872485 900.0 450.0
23 2 68.2393397547397 1000.0 500.0
24 2 89.7654044894367 2000.0 1000.0
25 2 105.46316682123972 3000.0 1500.0
26 2 117.68908735171946 4000.0 2000.0
27 2 128.27652563368306 5000.0 2500.0
28 2 137.92035268222062 6000.0 3000.0
29 2 146.30384667796486 7000.0 3500.0
30 2 153.83282747193266 8000.0 4000.0
31 2 161.61165728164457 9000.0 4500.0
32 2 4.436421625716446 0.01 0.005
33 2 4.425333651644934 0.001 0.0005
0 3 4.058444909590389 0.1 0.03333333333333333
1 3 4.307554727063271 0.5 0.16666666666666666
2 3 4.601262840245947 1.0 0.3333333333333333
3 3 6.567037443409856 5.0 1.6666666666666667
4 3 26.51375357371072 150.0 50.0
5 3 8.40542354446342 10.0 3.3333333333333335
6 3 11.277529148231151 20.0 6.666666666666667
7 3 13.36585543281588 30.0 10.0
8 3 15.169627342812518 40.0 13.333333333333334
9 3 16.631694995862404 50.0 16.666666666666668
10 3 17.994303521490885 60.0 20.0
11 3 19.23139125264164 70.0 23.333333333333332
12 3 20.30962034727299 80.0 26.666666666666668
13 3 21.35487134302148 90.0 30.0
14 3 22.34209034647401 100.0 33.333333333333336
15 3 29.90931725900576 200.0 66.66666666666667
16 3 35.46224859383679 300.0 100.0
17 3 39.89886733909238 400.0 133.33333333333334
18 3 43.71816928790289 500.0 166.66666666666666
19 3 47.15809497186029 600.0 200.0
20 3 50.16282752948867 700.0 233.33333333333334
21 3 53.002805112385545 800.0 266.6666666666667
22 3 55.48308314921658 900.0 300.0
23 3 57.95121763684451 1000.0 333.3333333333333
24 3 76.42999663342113 2000.0 666.6666666666666
25 3 89.96981745143026 3000.0 1000.0
26 3 100.65487918510784 4000.0 1333.3333333333333
27 3 109.80107795731668 5000.0 1666.6666666666667
28 3 117.86097558977 6000.0 2000.0
29 3 125.02484171753451 7000.0 2333.3333333333335
30 3 131.87863881037555 8000.0 2666.6666666666665
31 3 138.06252514975955 9000.0 3000.0
0 4 3.8130310834746712 0.1 0.025
1 4 3.995366657094775 0.5 0.125
2 4 4.225750118358031 1.0 0.25
3 4 5.871451869991456 5.0 1.25
4 4 23.478292297539603 150.0 37.5
5 4 7.424261038848152 10.0 2.5
6 4 9.946898339824806 20.0 5.0
7 4 11.806228391902373 30.0 7.5
8 4 13.371702491142916 40.0 10.0
9 4 14.65817852280234 50.0 12.5
10 4 15.890062051722785 60.0 15.0
11 4 17.001609522841388 70.0 17.5
12 4 17.941943643931058 80.0 20.0
13 4 18.874146584035078 90.0 22.5
14 4 19.75859731580453 100.0 25.0
15 4 26.519400802105046 200.0 50.0
16 4 31.442488393784718 300.0 75.0
17 4 35.48037619944656 400.0 100.0
18 4 38.868671348138605 500.0 125.0
19 4 41.90630808482268 600.0 150.0
20 4 44.67110673952061 700.0 175.0
21 4 47.14380134128501 800.0 200.0
22 4 49.523085921482846 900.0 225.0
23 4 51.55418840388173 1000.0 250.0
24 4 68.18791126700187 2000.0 500.0
25 4 80.21353370586563 3000.0 750.0
26 4 89.97922990941986 4000.0 1000.0
27 4 98.16868435891284 5000.0 1250.0
28 4 105.33353608437288 6000.0 1500.0
29 4 111.88221677070884 7000.0 1750.0
30 4 117.8900507217797 8000.0 2000.0
31 4 123.46828727743592 9000.0 2250.0
0 5 3.6654378286119274 0.1 0.02
1 5 3.797261520350754 0.5 0.1
2 5 3.984525082447135 1.0 0.2
3 5 5.398611375698216 5.0 1.0
4 5 21.32453957395042 150.0 30.0
5 5 6.773027361715781 10.0 2.0
6 5 9.008362934528838 20.0 4.0
7 5 10.688314206071992 30.0 6.0
8 5 12.074658388196235 40.0 8.0
9 5 13.366675942897173 50.0 10.0
10 5 14.434250726442931 60.0 12.0
11 5 15.370125017961737 70.0 14.0
12 5 16.28419542446751 80.0 16.0
13 5 17.15947763367696 90.0 18.0
14 5 18.030647436503006 100.0 20.0
15 5 24.113657851778555 200.0 40.0
16 5 28.63846295081595 300.0 60.0
17 5 32.29633582431801 400.0 80.0
18 5 35.496931776732424 500.0 100.0
19 5 38.223708536342215 600.0 120.0
20 5 40.81483255716719 700.0 140.0
21 5 43.00323815652288 800.0 160.0
22 5 45.17420508305784 900.0 180.0
23 5 47.11891253548595 1000.0 200.0
24 5 62.58907571951506 2000.0 400.0
25 5 73.38218360053365 3000.0 600.0
26 5 82.21661318179433 4000.0 800.0
